# Data associated with arXiv:2110.09653
# 
# Scale-free J-factor angular distribution, J_S(theta), of a nfw1-25 dark matter distribution (see Eq. 8 and the surrounding discussion)
# 
# Published: 3/29/22, Jack Runburg, contact: runburg@hawaii.edu
# 
# 
# -----------------------------------------------------------------
# 
# 	 tilde theta 		 | 	 tilde J s-wave 		 | 	 tilde J p-wave 		 | 	 tilde J d-wave 		 | 	 tilde J sommerfeld 
# 
# -----------------------------------------------------------------
1.000000000000000021e-03	3.762267799118576659e+04	1.951471785883226175e+03	4.455086442492839183e+02	3.065130735023421585e+05
1.021192151037671062e-03	3.645209311619884829e+04	1.917421317356730924e+03	4.413650600164176581e+02	2.946877251836608048e+05
1.042833409340945643e-03	3.531832982174498466e+04	1.883937573705478371e+03	4.372491448481018779e+02	2.833230761618061224e+05
1.064933292458827233e-03	3.421928727069740853e+04	1.850995872242511268e+03	4.331593197652177309e+02	2.723922574066427187e+05
1.087501519637659123e-03	3.315411021683991567e+04	1.818590912442706667e+03	4.290957653950814574e+02	2.618802890379866003e+05
1.110548016095517111e-03	3.212217343343275934e+04	1.786721116627094489e+03	4.250590072438061497e+02	2.517754210201802489e+05
1.134082917387199208e-03	3.112267706476416424e+04	1.755386780821222828e+03	4.210497259713872609e+02	2.420657546969465329e+05
1.158116573861711456e-03	3.015379714208808582e+04	1.724559041117444394e+03	4.170658713663541448e+02	2.327258691794406332e+05
1.182659555214217667e-03	2.921478072899550170e+04	1.694233464990187713e+03	4.131076501243104531e+02	2.237437675969402480e+05
1.207722655134462354e-03	2.830508788484856996e+04	1.664413771325383095e+03	4.091760350175578651e+02	2.151105116841545387e+05
1.233316896053688856e-03	2.742397559547075798e+04	1.635092341716724377e+03	4.052709938667420602e+02	2.068140222515824717e+05
1.259453533992170365e-03	2.656986044772564856e+04	1.606246771787353282e+03	4.013909671385983415e+02	1.988333502638385689e+05
1.286144063509461061e-03	2.574207960103913501e+04	1.577874670957062563e+03	3.975363162392987419e+02	1.911593823451271746e+05
1.313400222759557485e-03	2.494016667957197569e+04	1.549973652296021100e+03	3.937074695589413409e+02	1.837825563002028794e+05
